cik_str,ticker,title
0001521332,APTV,Aptiv PLC
0001651308,BGNE,"BeiGene, Ltd."
0000936958,MDY,SPDR S&P MIDCAP 400 ETF TRUST
0000916076,MLM,MARTIN MARIETTA MATERIALS INC
0001280452,MPWR,MONOLITHIC POWER SYSTEMS INC
0001404655,HUBS,HUBSPOT INC
0001315098,RBLX,Roblox Corp
0000915912,AVB,AVALONBAY COMMUNITIES INC
0001061574,GIB,CGI INC
0001038683,RYAAY,RYANAIR HOLDINGS PLC
0001034054,SBAC,SBA COMMUNICATIONS CORP
0000814052,TEF,TELEFONICA S A
0000063271,PCRFY,PANASONIC Corp
0001067701,URI,"UNITED RENTALS, INC."
0001451279,SAUHY,Straumann Holding AG / ADR
0001673358,YUMC,"Yum China Holdings, Inc."
0001659166,FTV,Fortive Corp
0000072741,ES,EVERSOURCE ENERGY
0001113169,TROW,PRICE T ROWE GROUP INC
0000915913,ALB,ALBEMARLE CORP
0000733099,RCI,ROGERS COMMUNICATIONS INC
0001699150,IR,Ingersoll Rand Inc.
0001539838,FANG,"Diamondback Energy, Inc."
0001065088,EBAY,EBAY INC
0001637120,CKHUY,CK Hutchison Holdings Limited/ADR
0001524472,XYL,Xylem Inc.
0000946581,TTWO,TAKE TWO INTERACTIVE SOFTWARE INC
0001014473,VRSN,VERISIGN INC/CA
0001140536,WTW,WILLIS TOWERS WATSON PLC
0001138118,CBRE,"CBRE GROUP, INC."
0001402057,CDW,CDW Corp
0001178670,ALNY,"ALNYLAM PHARMACEUTICALS, INC."
0000063754,MKC,MCCORMICK & CO INC
0000055067,K,KELLOGG CO
0000916365,TSCO,TRACTOR SUPPLY CO /DE/
0000027904,DAL,"DELTA AIR LINES, INC."
0000313927,CHD,CHURCH & DWIGHT CO INC /DE/
0001158838,ATEYY,ADVANTEST CORP
0000093751,STT,STATE STREET CORP
0001492426,HZNP,Horizon Therapeutics Public Ltd Co
0000924613,NOK,NOKIA CORP
0001677250,ZTO,ZTO Express (Cayman) Inc.
0001463101,ENPH,"Enphase Energy, Inc."
0000906107,EQR,EQUITY RESIDENTIAL
0001697862,ARGX,ARGENX SE
0000040987,GPC,GENUINE PARTS CO
0000936340,DTE,DTE ENERGY CO
0001243429,MT,ArcelorMittal
0001097149,ALGN,ALIGN TECHNOLOGY INC
0001383650,CQP,"Cheniere Energy Partners, L.P."
0001033767,UMC,UNITED MICROELECTRONICS CORP
0000074208,UDR,"UDR, Inc."
0001274494,FSLR,"FIRST SOLAR, INC."
0000874766,HIG,"HARTFORD FINANCIAL SERVICES GROUP, INC."
0001159508,DB,DEUTSCHE BANK AKTIENGESELLSCHAFT
0001002910,AEE,AMEREN CORP
0000721371,CAH,CARDINAL HEALTH INC
0001403568,ULTA,"Ulta Beauty, Inc."
0001031296,FE,FIRSTENERGY CORP
0000048465,HRL,HORMEL FOODS CORP /DE/
0000010456,BAX,BAXTER INTERNATIONAL INC
0001289490,EXR,Extra Space Storage Inc.
0000889132,PKX,POSCO HOLDINGS INC.
0000106535,WY,WEYERHAEUSER CO
0001687229,INVH,Invitation Homes Inc.
0000036270,MTB,M&T BANK CORP
0000065984,ETR,ENTERGY CORP /DE/
0001666175,FTS,Fortis Inc.
0001041792,ELP,ENERGY CO OF PARANA
0001269238,TCOM,Trip.com Group Ltd
0001477333,NET,"Cloudflare, Inc."
0001323404,WPM,Wheaton Precious Metals Corp.
0000884887,RCL,ROYAL CARIBBEAN CRUISES LTD
0001722380,AIU,Meta Data Ltd
0001837240,SYM,Symbotic Inc.
0001441816,MDB,"MongoDB, Inc."
0000051253,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC
0001070304,IX,ORIX CORP
0001757898,STE,STERIS plc
0001645590,HPE,Hewlett Packard Enterprise Co
0001121788,GRMN,GARMIN LTD
0000814547,FICO,FAIR ISAAC CORP
0000930157,RTO,RENTOKIL INITIAL PLC /FI
0000720005,RJF,RAYMOND JAMES FINANCIAL INC
0001585521,ZM,"Zoom Video Communications, Inc."
0000886986,TECK,TECK RESOURCES LTD
0000021076,CLX,CLOROX CO /DE/
0000940944,DRI,DARDEN RESTAURANTS INC
0000859737,HOLX,HOLOGIC INC
0000084839,ROL,ROLLINS INC
0001809587,BEKE,KE Holdings Inc.
0001035443,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC."
0001444406,EC,ECOPETROL S.A.
0000922224,PPL,PPL Corp
0000029905,DOV,DOVER Corp
0000920148,LH,LABORATORY CORP OF AMERICA HOLDINGS
0000046619,HEI,HEICO CORP
0001145197,PODD,INSULET CORP
0001713683,ZS,"Zscaler, Inc."
0000909037,SQM,CHEMICAL & MINING CO OF CHILE INC
0001335258,LYV,"Live Nation Entertainment, Inc."
0001094285,TDY,TELEDYNE TECHNOLOGIES INC
0000100493,TSN,"TYSON FOODS, INC."
0000858470,CTRA,Coterra Energy Inc.
0000798941,FCNCA,FIRST CITIZENS BANCSHARES INC /DE/
0000711404,COO,"COOPER COMPANIES, INC."
0000906163,NVR,NVR INC
0000915191,FRFHF,FAIRFAX FINANCIAL HOLDINGS LTD/ CAN
0000004281,HWM,Howmet Aerospace Inc.
0001567094,CNHI,CNH Industrial N.V.
0000029989,OMC,OMNICOM GROUP INC.
0001130310,CNP,CENTERPOINT ENERGY INC
0000910631,KOF,COCA COLA FEMSA SAB DE CV
0000079282,BRO,"BROWN & BROWN, INC."
0001455967,PTAIY,PT Astra International Tbk / ADR
0001450346,POAHY,Porsche Automobil Holding SE / ADR
0001096343,MKL,MARKEL GROUP INC.
0000746515,EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON INC
0001383312,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC."
0000728535,JBHT,HUNT J B TRANSPORT SERVICES INC
0000092380,LUV,SOUTHWEST AIRLINES CO
0000717826,ERIC,ERICSSON LM TELEPHONE CO
0000912595,MAA,MID AMERICA APARTMENT COMMUNITIES INC.
0001175454,FLT,FLEETCOR TECHNOLOGIES INC
0000313216,PHG,KONINKLIJKE PHILIPS NV
0000035527,FITB,FIFTH THIRD BANCORP
0000740260,VTR,"Ventas, Inc."
0000943452,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP
0001439124,EBR,BRAZILIAN ELECTRIC POWER CO
0001546066,PBA,PEMBINA PIPELINE CORP
0001122411,ASX,"ASE Technology Holding Co., Ltd."
0001590955,PAYC,"Paycom Software, Inc."
0000009389,BALL,BALL Corp
0000004127,SWKS,"SKYWORKS SOLUTIONS, INC."
0000811250,HLDCY,HENDERSON LAND DEVELOPMENT COMPANY LTD /FI
0001060955,ICLR,ICON PLC
0001281761,RF,REGIONS FINANCIAL CORP
0000811156,CMS,CMS ENERGY CORP
0001406234,BIP,Brookfield Infrastructure Partners L.P.
0001069347,SGSOY,SGS SOCIETE GENERALE DE SURVEILLANCE HOLDING SA /FI
0000023217,CAG,CONAGRA BRANDS INC.
0000912593,SUI,SUN COMMUNITIES INC
0001048477,BMRN,BIOMARIN PHARMACEUTICAL INC
0001419612,SEDG,"SOLAREDGE TECHNOLOGIES, INC."
0001506293,PINS,"PINTEREST, INC."
0001126328,PFG,PRINCIPAL FINANCIAL GROUP INC
0000860731,TYL,TYLER TECHNOLOGIES INC
0001353283,SPLK,SPLUNK INC
0001564408,SNAP,Snap Inc
0000731802,ATO,ATMOS ENERGY CORP
0000764478,BBY,BEST BUY CO INC
